ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"119.13.125.238","elite","AS136907","HK","Huawei International Pte. LTD","315","N/A","1080","socks5","3908","1","2023-10-20T12:47:56.538Z","97","4333","4475"
"160.251.6.106","elite","AS7506","JP","GMO Internet Group, Inc.","299","interQ","10008","socks4","506","1","2023-10-20T12:47:56.539Z","96","4220","4410"
"202.159.107.17","elite","AS9340","ID","PT IndoInternet","178","N/A","443","socks4","3282","1","2023-10-20T12:47:56.533Z","99","4364","4386"
"31.172.189.205","elite","AS31242","PL","Fibertech Networks Sp. z o.o","44","Fibertech Networks Sp. z o.o.","1080","socks4","4704","1","2023-10-20T12:47:56.642Z","100","4372","4378"
"125.25.160.120","elite","AS23969","TH","TOT Public Company Limited","194","TOT Public Company Limited","8080","socks4","4995","1","2023-10-20T12:47:51.738Z","32","1407","4416"
"201.159.15.145","elite","AS263778","AR","Coop. Serv. Pub. Limit. Tres Arroyos, CELTA","290","Coop. Serv. Pub. Limit. Tres Arroyos, CELTA","5678","socks4","398","1","2023-10-20T12:47:51.647Z","97","4294","4431"
"86.104.27.175","elite","AS29119","ES","Aire Networks Del Mediterraneo SL Unipersonal","88","Aire Networks Del Mediterraneo SL Unipersonal","7497","socks4","2102","1","2023-10-20T12:47:51.648Z","96","4285","4464"
"200.70.19.82","elite","AS10834","AR","Telefonica de Argentina","226","Telefonica de Argentina","4153","socks4","3190","1","2023-10-20T12:47:51.736Z","98","4395","4466"
"67.205.162.56","elite","AS14061","US","DigitalOcean, LLC","82","Digital Ocean","10605","socks4","1713","1","2023-10-20T12:47:51.833Z","93","4108","4405"
"202.159.35.25","elite","AS9340","ID","PT IndoInternet","195","N/A","443","socks4","4390","1","2023-10-20T12:47:51.652Z","100","4469","4484"
"103.66.233.161","elite","AS134014","IN","NET 4 U SERVICES","141","N/A","4145","socks4","4314","1","2023-10-20T12:47:51.645Z","99","4463","4495"
"110.34.166.182","elite","AS45652","SG","VPLS, Inc.","394","Vpls Sin1","4153","socks4","4685","1","2023-10-20T12:47:51.737Z","99","4435","4476"
"189.89.209.132","elite","AS28187","BR","Stratus Telecomunicacoes Ltda","209","Stratus Telecomunicacoes Ltda","80","socks5","5105","1","2023-10-20T12:47:47.053Z","75","3376","4500"
"200.199.195.138","elite","AS8167","BR","V tal","250","Brasil Telecom Comunicacao Multimidia S.A","4145","socks4","4315","1","2023-10-20T12:47:47.054Z","32","1412","4454"
"202.124.46.102","elite","AS9902","KH","NeocomISP Limited","202","NeocomISP Limited","4145","socks4","1296","1","2023-10-20T12:47:42.451Z","99","4458","4487"
"203.194.103.30","elite","AS17665","IN","IN2CABLE","184","In2cable","5678","socks4","5002","1","2023-10-20T12:47:42.535Z","53","2396","4494"
"47.243.95.228","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","284","Alibaba.com LLC","10080","socks5","5004","86","2023-10-20T12:47:42.448Z","99","4316","4356"
"189.16.248.226","elite","AS4230","BR","Claro S.A","295","Eletro Mateus","5678","socks4","70","1","2023-10-20T12:47:42.347Z","100","4460","4480"
"202.159.35.153","elite","AS9340","ID","PT IndoInternet","164","N/A","443","socks4","5087","1","2023-10-20T12:47:37.647Z","100","4462","4471"
"103.47.93.233","elite","AS134058","IN","Broban Internet Services Pvt.ltd","154","Broban  PVT Ltd.","1080","socks4","3892","1","2023-10-20T12:47:37.652Z","99","4497","4524"
"47.242.34.83","elite","AS45102","HK","Alibaba.com LLC","280","Hong Kong","443","socks4","5180","1","2023-10-20T12:47:37.735Z","99","4384","4423"
"101.51.104.95","elite","AS23969","TH","TOT Public Company Limited","182","TOT Public Company Limited","4145","socks4","4092","1","2023-10-20T12:47:37.649Z","53","2372","4475"
"178.132.168.77","elite","AS8926","MD","JSC \"Moldtelecom\" S.A","51","JSC Moldtelecom S.A.","5678","socks4","4597","1","2023-10-20T12:47:37.653Z","91","4063","4480"
"125.27.10.84","elite","AS23969","TH","TOT Public Company Limited","184","TOT Public Company Limited","4153","socks4","5193","1","2023-10-20T12:47:32.750Z","98","4251","4319"
"202.159.35.189","elite","AS9340","ID","PT IndoInternet","198","N/A","443","socks4","4390","1","2023-10-20T12:47:32.837Z","100","4423","4433"
"114.88.241.195","elite","AS4812","CN","China Telecom (Group)","230","Chinanet SH","2080","socks5","4209","1","2023-10-20T12:47:32.747Z","70","3122","4433"
"199.60.103.160","elite","AS209242","US","Cloudflare London, LLC","11","HubSpot, Inc.","80","socks5","5097","1","2023-10-20T12:47:32.842Z","100","4460","4460"
"62.122.205.135","elite","AS49125","UA","Uteam LTD","42","Uteam LTD","3629","socks4","4697","1","2023-10-20T12:47:32.835Z","67","3024","4501"
"202.5.54.70","elite","AS45326","BD","BBTS-NEW","282","N/A","4145","socks4","5095","1","2023-10-20T12:47:32.833Z","95","4241","4468"
"43.152.192.217","elite","AS132203","IN","Shenzhen Tencent Computer Systems Company Limited","184","Tencent Cloud Computing (Beijing) Co., Ltd","443","socks5","2490","1","2023-10-20T12:47:28.139Z","99","4331","4371"
"78.37.27.139","elite","AS12389","RU","Rostelecom networks","99","OJSC North-West Telecom","56228","socks4","5192","1","2023-10-20T12:47:28.138Z","100","4339","4347"
"104.18.65.115","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","2105","socks4","4515","1","2023-10-20T12:47:28.137Z","100","4439","4439"
"167.71.208.252","elite","AS14061","SG","DigitalOcean, LLC","172","DigitalOcean, LLC","8080","socks4","3213","1","2023-10-20T12:47:23.334Z","74","3262","4432"
"203.23.103.127","elite","AS209242","BZ","Cloudflare London, LLC","10","Umpire Associates LTD","80","socks4","3607","88","2023-10-20T12:47:23.339Z","100","4408","4408"
"45.126.169.193","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","135","NET 4 U Services PVT LTD","4145","socks4","1812","1","2023-10-20T12:47:23.436Z","99","4408","4433"
"45.196.148.67","elite","AS7018","US","AT&T Services, Inc.","90","AQUA Networks Limited","5432","socks4","3105","1","2023-10-20T12:47:23.249Z","98","4239","4319"
"85.30.215.48","elite","AS42610","RU","National Cable Networks","283","N/A","60541","socks4","5004","2","2023-10-20T12:47:23.336Z","36","1603","4445"
"101.108.12.69","elite","AS23969","TH","TOT Public Company Limited","153","TOT Public Company Limited","4145","socks4","5005","1","2023-10-20T12:47:17.750Z","54","2421","4461"
"220.168.52.245","elite","AS4134","CN","Chinanet","215","N/A","43718","socks4","4199","1","2023-10-20T12:47:17.748Z","65","2881","4408"
"187.62.86.129","elite","AS269715","BR","Infinitygo Telecom Ltda","193","Infinitygo Telecom Ltda","5678","socks4","4590","1","2023-10-20T12:47:17.749Z","71","3186","4518"
"213.166.82.158","elite","AS48031","UA","Ivanov Vitaliy Sergeevich","52","Proline IT Ltd","62715","socks4","4608","1","2023-10-20T12:47:17.936Z","100","4371","4382"
"195.154.49.91","elite","AS12876","FR","Online SAS","1","N/A","10423","socks5","5106","1","2023-10-20T12:47:12.038Z","100","4541","4541"
"43.246.143.250","elite","AS134294","IN","R P World Telecom Pvt Ltd","174","R P World Telecom Pvt Ltd","9999","socks4","4095","2","2023-10-20T12:47:11.836Z","99","4456","4520"
"99.56.147.242","elite","AS7018","US","AT&T Services, Inc.","195","Private Customer - AT&T Internet Services","7018","socks4","5092","82","2023-10-20T12:47:11.833Z","10","449","4331"
"114.103.78.176","elite","AS4134","CN","Chinanet","214","Chinanet AH","53309","socks4","4601","1","2023-10-20T12:47:11.837Z","28","1223","4399"
"89.237.34.185","elite","AS20485","RU","multi-origin SUTTK","83","N/A","51549","socks4","4604","1","2023-10-20T12:47:07.836Z","99","4331","4376"
"206.42.40.0","elite","AS28126","BR","Brisanet Prestacao De Servicos De Internet Ltda","186","AGIS","5678","socks4","300","1","2023-10-20T12:47:07.744Z","83","3607","4349"
"177.223.224.17","elite","AS52559","BR","Novatec Telecom Ltda","203","Novatec Telecom Ltda","4153","socks4","4186","1","2023-10-20T12:47:07.747Z","99","4386","4416"
"118.174.219.163","elite","AS23969","TH","TOT Public Company Limited","161","TOT Public Company Limited","4153","socks4","4996","1","2023-10-20T12:47:07.936Z","59","2607","4385"
"103.51.44.253","elite","AS133819","ID","CIM","290","N/A","4145","socks4","4989","1","2023-10-20T12:47:07.746Z","99","4469","4502"
"191.6.135.94","elite","AS263305","BR","NET.COM TELECOMUNICACOES EIRELI","198","RCS TELECOMUNICACOES LTDA","4145","socks4","4299","87","2023-10-20T12:47:07.743Z","62","2722","4408"
"85.242.190.63","elite","AS3243","PT","PT Comunicacoes S.A","94","PT Comunicacoes S.A.","5156","socks5","4995","1","2023-10-20T12:47:07.739Z","86","3804","4412"
"180.210.222.221","elite","N/A","US","Ipxo LLC","15","Ipxo","1080","socks4","4489","1","2023-10-20T12:47:07.934Z","21","933","4440"
"178.128.221.243","elite","AS14061","SG","DigitalOcean, LLC","198","Digitalocean","26323","socks5","4509","1","2023-10-20T12:47:07.850Z","99","4439","4465"
"5.187.4.208","elite","AS44066","ES","First Colo","83","Fornex Hosting S.L","39767","socks4","2597","1","2023-10-20T12:47:03.141Z","100","4427","4449"
"149.20.253.241","elite","AS18615","US","Mainstream Fiber Networks, LLC","104","Mainstream Fiber Networks, LLC","12551","socks4","4589","1","2023-10-20T12:47:03.242Z","100","4400","4409"
"103.47.93.222","elite","AS134058","IN","Broban Internet Services Pvt.ltd","145","Broban  PVT Ltd.","1080","socks4","4497","82","2023-10-20T12:47:03.140Z","99","4410","4448"
"104.25.244.70","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4200","1","2023-10-20T12:47:03.133Z","100","4392","4394"
"165.227.112.138","elite","AS14061","US","DigitalOcean, LLC","94","DigitalOcean, LLC","1080","socks4","4492","1","2023-10-20T12:46:58.549Z","66","2923","4407"
"125.141.133.98","elite","AS4766","KR","Korea Telecom","292","Korea Telecom","5566","socks4","5087","1","2023-10-20T12:46:58.443Z","78","3406","4381"
"195.211.244.190","elite","AS50712","RU","Kavkaz Internet Service Ltd.","88","Kavkaz Internet Service Ltd.","3629","socks4","4801","1","2023-10-20T12:46:58.437Z","98","4269","4359"
"46.32.230.136","elite","AS20738","GB","Host Europe GmbH","15","Heart Internet","7497","socks5","4393","1","2023-10-20T12:46:58.448Z","98","4319","4426"
"129.21.30.116","elite","AS4385","US","Rochester Institute of Technology","80","Rochester Institute of Technology","3128","socks4","3711","1","2023-10-20T12:46:53.638Z","99","4288","4326"
"104.22.50.220","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4592","1","2023-10-20T12:46:53.449Z","100","4404","4405"
"190.85.158.46","elite","AS14080","CO","Telmex Colombia S.A.","190","Telmex Colombia S.A","3629","socks4","4998","1","2023-10-20T12:46:53.637Z","45","1982","4447"
"39.108.139.217","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","298","Aliyun Computing Co., LTD","11188","socks5","3692","1","2023-10-20T12:46:48.544Z","81","3633","4475"
"91.187.55.39","elite","AS34093","CZ","Nordic Telecom Regional s.r.o.","81","Kuznik","5678","socks4","1616","1","2023-10-20T12:46:48.535Z","99","4406","4465"
"103.194.89.173","elite","AS134319","IN","Elyzium Technologies Pvt. Ltd.","190","Elyzium Technologies Pvt. Ltd.","9898","socks4","5006","1","2023-10-20T12:46:48.635Z","98","4385","4469"
"41.139.16.114","elite","AS35091","GH","Teledata, Ghana","155","TeledataICTBlock MTN GSM Network","1080","socks5","2293","1","2023-10-20T12:46:44.145Z","83","3620","4381"
"64.26.95.14","elite","AS6189","US","Enoch-Pratt Free Library","90","Sailor","8080","socks4","4113","1","2023-10-20T12:46:44.045Z","100","4444","4446"
"45.112.125.55","elite","AS58369","ID","FIBERNET","166","N/A","4145","socks4","4996","83","2023-10-20T12:46:44.048Z","99","4456","4498"
"155.93.255.137","elite","AS37680","ZA","CISPIPCT1","154","N/A","4153","socks4","5087","1","2023-10-20T12:46:44.041Z","99","4420","4477"
"47.98.151.6","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","201","Aliyun Computing Co., LTD","16144","socks5","4011","1","2023-10-20T12:46:44.044Z","85","3783","4438"
"122.3.255.114","elite","AS9299","PH","Philippine Long Distance Telephone Co.","220","Philippine Long Distance Telephone Company","4145","socks4","4496","1","2023-10-20T12:46:44.038Z","56","2498","4480"
"183.81.156.225","elite","AS24527","ID","Internet Service Provider","200","POP Jepara","5678","socks4","4093","1","2023-10-20T12:46:44.043Z","99","4467","4496"
"103.105.41.209","elite","AS137143","IN","Minnal Digital Network Private Limited","153","Minnal Digital Network Private Limited","4145","socks4","5192","1","2023-10-20T12:46:44.052Z","100","4460","4473"
"177.86.64.1","elite","AS262623","BR","claudio jose lara -me","201","claudio jose lara -me","3629","socks4","4992","1","2023-10-20T12:46:44.036Z","100","4240","4261"
"104.27.83.183","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","196","1","2023-10-20T12:46:39.140Z","100","4305","4305"
"183.62.58.37","elite","AS4134","CN","Chinanet","282","Guangzhourunbaoxinxikejiyouxian","1080","socks4","2718","2","2023-10-20T12:46:39.137Z","83","3703","4470"
"103.140.75.11","elite","AS138891","ID","PT Kayong Muara Teknoindo","196","N/A","5678","socks4","4504","1","2023-10-20T12:46:39.146Z","97","4308","4430"
"102.141.91.245","elite","AS328638","ZA","Letaba Wireless Internet CC","203","N/A","5678","socks4","4808","1","2023-10-20T12:46:39.147Z","58","2563","4384"
"51.77.73.68","elite","AS16276","ES","OVH SAS","11","Sastre Vazquez Antonio","31979","socks4","3989","1","2023-10-20T12:46:34.440Z","100","4388","4395"
"113.74.26.116","elite","AS4134","CN","Chinanet","296","Chinanet GD","4145","socks4","4996","1","2023-10-20T12:46:34.346Z","84","3770","4497"
"200.81.144.253","elite","AS270934","BR","Silva de Sá Informática LTDA","209","Silva de Sá Informática LTDA","1080","socks4","4888","2","2023-10-20T12:46:34.255Z","100","4520","4531"
"110.136.161.167","elite","AS7713","ID","Telekomunikasi Indonesia","192","N/A","8080","socks4","4800","1","2023-10-20T12:46:34.338Z","78","3412","4399"
"172.67.3.98","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4897","2","2023-10-20T12:46:34.249Z","100","4439","4440"
"43.157.32.230","elite","AS132203","DE","Aceville Pte.ltd","12","N/A","443","socks5","3618","1","2023-10-20T12:46:34.342Z","73","3191","4375"
"185.171.55.162","elite","AS44285","IR","Shahrad Network","98","N/A","4153","socks4","4714","1","2023-10-20T12:46:34.348Z","95","4280","4485"
"148.251.84.230","elite","AS24940","DE","Hetzner Online GmbH","86","Hetzner","60001","socks4","4797","1","2023-10-20T12:46:34.438Z","100","4385","4385"
"129.226.90.145","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","397","Aceville Pte.ltd","443","socks5","2893","1","2023-10-20T12:46:29.535Z","87","3929","4515"
"190.239.23.33","elite","AS6147","PE","Telefonica del Peru","199","PE-TDPERX5-LACNIC","5678","socks4","2009","1","2023-10-20T12:46:29.541Z","97","4238","4357"
"188.166.231.51","elite","AS14061","SG","DigitalOcean, LLC","195","Digitalocean","7497","socks5","2413","1","2023-10-20T12:46:29.537Z","99","4326","4383"
"36.255.104.17","elite","AS136238","MV","SatLink Pvt Ltd","194","N/A","1080","socks4","5101","1","2023-10-20T12:46:29.538Z","100","4436","4451"
"159.75.49.140","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","284","Tencent Cloud Computing (Beijing) Co., Ltd","10808","socks4","3806","1","2023-10-20T12:46:24.537Z","84","3669","4367"
"178.212.48.23","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","28","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","1189","1","2023-10-20T12:46:19.735Z","100","4484","4503"
"134.209.239.109","elite","AS14061","DE","DigitalOcean, LLC","80","DigitalOcean, LLC","80","socks4","5102","1","2023-10-20T12:46:19.733Z","95","4269","4473"
"5.165.2.223","elite","AS51604","RU","JSC \"ER-Telecom Holding\"","63","CJSC \"ER-Telecom Holding\" Yekaterinburg Branch","3629","socks4","5006","1","2023-10-20T12:46:19.544Z","87","3851","4449"
"172.67.250.212","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4694","1","2023-10-20T12:46:19.636Z","100","4449","4449"
"168.227.158.85","elite","AS52898","BR","Multipla Serviços Inteligentes","196","Multipla Serviços Inteligentes","4145","socks4","989","1","2023-10-20T12:46:19.549Z","99","4439","4465"
"118.70.124.195","elite","AS18403","VN","FPT Telecom Company","215","FPT-STATICIP","5678","socks4","5205","1","2023-10-20T12:46:19.641Z","99","4440","4473"
"94.228.35.219","elite","AS31463","GB","4D Data Centres Ltd","13","4DDATACENTRES","80","socks4","5294","1","2023-10-20T12:46:13.633Z","100","4442","4442"
"122.152.53.25","elite","AS38562","BD","Innovative Online Ltd.","200","Innovative Online Ltd","5678","socks4","4411","1","2023-10-20T12:46:13.337Z","95","4275","4510"
"45.116.114.29","elite","AS58898","IN","Rainbow communications India Pvt Ltd","164","Rainbow Communications India Pvt Ltd","5678","socks4","5006","1","2023-10-20T12:46:13.341Z","91","4028","4432"
"148.72.210.73","elite","AS26496","SG","GoDaddy.com, LLC","287","GoDaddy.com, LLC","23202","socks5","4788","2","2023-10-20T12:46:13.345Z","100","4413","4426"
"36.83.78.37","elite","AS7713","ID","PT. TELKOM INDONESIA","289","N/A","8080","socks4","4186","1","2023-10-20T12:46:13.254Z","85","3857","4528"
"209.169.132.84","elite","AS11290","CA","Cogeco Connexion inc","103","Cogeco Connexion inc","4145","socks4","5006","1","2023-10-20T12:46:08.549Z","88","3935","4471"
"213.179.245.72","elite","AS6849","UA","UKRTELECOM","40","JSC Ukrtelecom","4444","socks4","1399","1","2023-10-20T12:46:08.634Z","97","4308","4421"
"45.234.100.112","elite","AS61592","BR","Fortlink Internet Corporativa","198","Fortlink Internet Corporativa","1080","socks4","2286","1","2023-10-20T12:46:08.638Z","100","4413","4425"
"89.237.34.13","elite","AS20485","RU","multi-origin SUTTK","83","N/A","51549","socks4","3693","1","2023-10-20T12:46:08.641Z","99","4419","4474"
"167.99.80.74","elite","AS14061","GB","DigitalOcean, LLC","82","DigitalOcean, LLC","8080","socks4","4994","1","2023-10-20T12:46:04.036Z","100","4417","4426"
"185.32.6.121","elite","AS60645","PL","AS Consulting Sp. z o. o.","85","Data center","4153","socks4","4997","1","2023-10-20T12:46:04.043Z","99","4452","4513"
"147.161.166.35","elite","AS62044","GB","Zscaler LON3","8","Zscaler, Inc.","10326","socks4","100","1","2023-10-20T12:46:04.038Z","97","4253","4381"
"139.59.84.117","elite","AS14061","IN","DIGITALOCEAN","181","DigitalOcean, LLC","52125","socks4","5083","1","2023-10-20T12:46:04.041Z","67","2938","4360"
"51.68.83.188","elite","AS16276","FR","OVH SAS","8","OVH","16977","socks5","4610","1","2023-10-20T12:45:59.339Z","100","4508","4508"
"191.209.43.16","elite","AS27699","BR","Vivo","285","TELEF�NICA BRASIL S.A","5678","socks4","5588","1","2023-10-20T12:45:59.244Z","100","4449","4467"
"118.67.216.94","elite","AS58923","BD","InterCloud Limited","157","InterCloud ltd","4145","socks4","5402","1","2023-10-20T12:45:59.246Z","96","4277","4444"
"104.24.15.158","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","5299","1","2023-10-20T12:45:59.337Z","100","4491","4494"
"103.60.137.17","elite","AS134016","IN","Velocity Internet India Private Ltd","183","Velocity Internet India Private Ltd","4153","socks4","1405","78","2023-10-20T12:45:59.241Z","99","4354","4410"
"177.223.238.20","elite","AS52559","BR","Novatec Telecom Ltda","203","Novatec Telecom Ltda","4153","socks4","4810","1","2023-10-20T12:45:54.541Z","99","4390","4426"
